id,EAP,HPL,MWS
id02310,0.31818599,0.22204651,0.4597675
id24541,0.8368804,0.11209248,0.05102718
id00134,0.018232103,0.9549496,0.026818287
id27757,0.445384,0.4429794,0.11163666
id04081,0.2591499,0.2595442,0.48130587
id27337,0.93136543,0.016981453,0.051653136
id24265,0.98988265,0.004591436,0.005526007
id25917,0.16654839,0.51942074,0.31403086
id04951,0.984746,0.008365149,0.006888804
id14549,0.8062687,0.16548103,0.028250324
id22505,0.17574288,0.39622754,0.4280296
id24002,0.2606685,0.7111415,0.028189955
id18982,0.47604343,0.22990045,0.29405615
id15181,0.07820263,0.79708385,0.1247135
id21888,0.7701446,0.18781221,0.04204317
id12035,0.029153492,0.0249442,0.94590235
id17991,0.69208777,0.11551513,0.19239707
id10707,0.97905797,0.013028323,0.007913702
id07101,0.59144604,0.19736475,0.21118921
id00345,0.24387442,0.57908756,0.177038
id05912,0.49889845,0.2034722,0.29762933
id13443,0.4196513,0.20942107,0.37092754
id09248,0.53682137,0.13999371,0.32318488
id17542,0.65119535,0.117766075,0.23103862
id06995,0.53482,0.034767102,0.43041292
id25159,0.1831705,0.3715025,0.44532707
id25729,0.24823192,0.22180013,0.529968
id26949,0.76719457,0.15760057,0.0752049
id27191,0.32033938,0.049492523,0.63016814
id07668,0.71823287,0.033030115,0.24873702
id02230,0.23775782,0.554257,0.20798522
id15553,0.9889113,0.0010627027,0.010025918
id25688,0.0041371044,0.98311573,0.012747141
id17545,0.54383874,0.32178187,0.13437934
id13929,0.24345973,0.29541713,0.46112317
id12880,0.5397315,0.45571065,0.0045578275
id19282,0.48732546,0.26235402,0.25032052
id14690,0.15699692,0.2404265,0.60257655
id17975,0.86130327,0.08173495,0.056961793
id08037,0.97213036,0.013947339,0.013922262
id15412,0.50995684,0.06680334,0.4232399
id25032,0.4004809,0.3016316,0.29788756
id27165,0.4404405,0.41008657,0.14947289
id03327,0.8875438,0.07476632,0.037689794
id18515,0.67497575,0.1208273,0.20419694
id21003,0.20456146,0.08027595,0.7151626
id23855,0.41556367,0.4529972,0.13143907
id20724,0.39936456,0.20524383,0.39539155
id13303,0.8109536,0.14716902,0.04187735
id16521,0.0629454,0.8315119,0.10554267
id20775,0.98452353,0.0030683086,0.012408223
id13029,0.80613834,0.062925905,0.13093567
id14660,0.28790998,0.4374473,0.27464268
id11028,0.0020038674,0.0015311379,0.99646497
id14180,0.93123895,0.054218747,0.014542285
id25860,0.61251765,0.084456556,0.30302584
id11910,0.1543884,0.090521194,0.7550904
id08065,0.048179068,0.0025441009,0.9492768
id22674,0.10144968,0.12457031,0.77398
id25018,0.35499427,0.030143471,0.61486226
id10892,0.036925726,0.94329107,0.019783244
id10217,0.4867764,0.43319467,0.08002897
id12996,0.29946616,0.14075457,0.5597793
id18262,0.64479774,0.27014443,0.085057795
id08606,0.076583326,0.9093394,0.014077302
id17233,0.45893055,0.11928984,0.42177966
id00101,0.29444697,0.14758226,0.5579708
id12225,0.7517217,0.07657263,0.17170571
id01364,0.11055189,0.79910254,0.09034558
id24973,0.1595961,0.24751407,0.59288985
id25363,0.90480363,0.009258567,0.08593781
id10061,0.5357873,0.074350126,0.38986257
id17673,0.2177077,0.4228126,0.3594797
id13249,0.29967254,0.013224745,0.68710274
id10107,0.03853196,0.019120364,0.9423477
id04403,0.90386176,0.07699145,0.019146819
id25728,0.47898194,0.5105497,0.0104684
id16184,0.5077365,0.2677904,0.22447312
id03438,0.674568,0.19578026,0.12965173
id22923,0.10404643,0.86496574,0.030987829
id08610,0.9231706,0.016307233,0.06052211
id25355,0.057159692,0.072165444,0.8706749
id16916,0.15448123,0.5933352,0.2521835
id12793,0.50661385,0.4632884,0.030097764
id11859,0.8909428,0.013408146,0.09564904
id02434,0.8947882,0.047275692,0.05793615
id27703,0.038085565,0.048111513,0.913803
id25212,0.05263701,0.8903364,0.05702654
id11308,0.46359497,0.07947373,0.4569313
id26094,0.59158915,0.28028747,0.12812334
id22080,0.43675113,0.4374936,0.12575527
id03545,0.7052595,0.202628,0.092112504
id23725,0.04168472,0.053244524,0.9050707
id12009,0.24596025,0.14782706,0.60621274
id24241,0.68710345,0.050475825,0.2624207
id03596,0.027410286,0.9611596,0.011430048
id10749,0.033037942,0.91206765,0.054894354
id22794,0.2542193,0.14206739,0.60371333
id15482,0.4014019,0.32858056,0.27001745
id04833,0.65749437,0.21209344,0.13041224
id00397,0.012865639,0.014628999,0.9725054
id14691,0.10166083,0.17404191,0.7242972
id05193,0.6756053,0.17991476,0.14447993
id19541,0.7502945,0.21113054,0.0385749
id22166,0.53115827,0.13119654,0.3376452
id20744,0.00076214765,0.0005077375,0.9987301
id10392,0.09990313,0.11279626,0.78730065
id00770,0.7574635,0.16414298,0.07839355
id06018,0.99655163,0.0013980014,0.0020503844
id15678,0.54991776,0.25301665,0.19706559
id08305,0.8146828,0.14367215,0.04164504
id08903,0.52205557,0.13792124,0.3400232
id14752,0.12876454,0.78023183,0.09100364
id12468,0.098057605,0.68153656,0.22040585
id05085,0.1079772,0.76726776,0.124755085
id21993,0.51888436,0.064540386,0.4165753
id15503,0.5954079,0.27951306,0.12507899
id03021,0.5321459,0.4392832,0.028570872
id16123,0.84210855,0.143723,0.014168456
id19383,0.21085796,0.7159924,0.073149644
id04186,0.664133,0.09910844,0.2367586
id17954,0.031114079,0.050081644,0.9188043
id12030,0.2956081,0.061012782,0.64337915
id13020,0.5183205,0.09316636,0.38851315
